Lifetime,Time
1000,1598918490.46
3240,1598918633.62
3380,1598919181.78
100,1598919911.02
2260,1598920162.13
11400,1598920635.41
600,1598920656.95
1300,1598921093.61
5360,1598921190.49
1380,1598921684.96
1120,1598921791.37
4540,1598921907.59
6260,1598922205.85
4940,1598923392.29
2620,1598923748.1
960,1598923764.22
60,1598923824.17
1900,1598924544.46
3520,1598924590.03
980,1598924761.11
200,1598924902.98
1160,1598925415.41
800,1598925861.44
1480,1598926960.98
3260,1598927681.36
1280,1598927934.07
3180,1598928889.46
820,1598929462.34
2040,1598931758.02
340,1598931877.29
480,1598933613.61
840,1598934409.69
800,1598937340.39
1980,1598937553.66
840,1598938472.75
1540,1598938681.22
2700,1598939130.43
1360,1598941798.25
2620,1598942487.72
2160,1598942556.34
3320,1598942663.53
280,1598944488.12
1780,1598944750.31
1300,1598945399.85
1340,1598946422.31
13120,1598951403.96
2060,1598952670.37
840,1598953131.49
280,1598953696.21
1120,1598954555.96
3820,1598955235.67
1740,1598956433.0
540,1598957237.45
3260,1598958267.03
180,1598958415.12
640,1598959595.51
2300,1598960594.38
3560,1598960627.23
3500,1598961895.62
3320,1598962445.82
500,1598964421.66
640,1598965272.37
3020,1598965358.03
1400,1598966419.14
1540,1598966497.75
3160,1598966906.46
1480,1598967039.62
920,1598967388.16
1740,1598968159.86
340,1598968218.09
1280,1598969517.19
940,1598969647.53
200,1598970092.15
280,1598970641.04
360,1598972421.91
800,1598973745.75
1140,1598974521.52
620,1598975306.44
2760,1598976013.44
14040,1598976269.85
1000,1598976571.97
460,1598977070.92
240,1598979454.2
140,1598979826.24
2600,1598980015.79
4140,1598980265.29
80,1598981037.57
440,1598981496.4
5860,1598981818.59
840,1598982432.41
4200,1598982717.03
3960,1598984030.97
4800,1598984104.24
4540,1598985293.84
680,1598985415.43
3800,1598986579.86
2240,1598986602.73
11240,1598986698.84
700,1598986833.09
1360,1598989558.3
1940,1598989779.95
1640,1598991132.95
2260,1598991666.7
3240,1598991818.6
300,1598994797.54
12420,1598996589.73
4200,1598997336.53
3700,1598998004.47
200,1598998596.19
400,1598999102.92
12140,1599001012.95
4400,1599001236.61
380,1599006528.79
400,1599006542.3
80,1599006692.6
3740,1599007450.24
1600,1599009219.4
240,1599011590.53
8420,1599012101.63
1740,1599012762.71
540,1599013545.78
1600,1599013717.43
4080,1599014288.42
180,1599015183.15
8600,1599016683.66
720,1599020360.73
420,1599020583.97
360,1599022033.96
1740,1599022071.92
2240,1599022322.79
720,1599023590.3
460,1599023617.55
1320,1599023834.09
3460,1599024038.32
3780,1599024286.57
4580,1599025158.55
1020,1599026920.29
3260,1599027252.97
4020,1599027601.6
4120,1599028050.52
600,1599028752.8
2360,1599029075.83
620,1599029148.63
380,1599029285.31
2220,1599030032.63
1180,1599030356.33
1220,1599032447.42
2300,1599034414.56
80,1599034507.98
1340,1599034554.25
440,1599035513.31
2760,1599036745.86
1240,1599037620.31
840,1599037746.94
5780,1599039241.31
380,1599039287.23
3100,1599043089.64
6860,1599045160.27
640,1599046005.93
680,1599046374.48
240,1599046787.71
720,1599047938.46
1800,1599048816.1
1000,1599048990.27
5920,1599049423.96
620,1599049638.62
2760,1599049778.91
960,1599050481.83
500,1599051889.66
400,1599053711.22
140,1599053811.76
4400,1599056834.46
100,1599057491.53
10300,1599058211.33
7560,1599058226.97
2820,1599060358.9
1740,1599061313.11
540,1599061482.51
2020,1599062311.88
18660,1599063754.37
2280,1599064284.09
2880,1599064392.33
240,1599064660.97
9800,1599064753.18
940,1599067131.85
780,1599067134.81
5080,1599068500.94
8280,1599069431.0
1940,1599069806.6
3080,1599070291.58
1720,1599070316.9
1080,1599074427.53
720,1599074535.16
100,1599074552.82
9120,1599074652.82
3620,1599075456.44
340,1599075940.27
3360,1599076733.53
4540,1599076975.82
6600,1599077475.02
1820,1599079037.24
520,1599079058.23
1220,1599081009.52
2860,1599082517.18
240,1599083151.64
2500,1599083221.82
700,1599083989.98
1620,1599084924.27
1220,1599087073.65
4000,1599087415.19
11640,1599087471.35
800,1599087598.01
3760,1599087603.65
420,1599088338.79
300,1599088872.23
1040,1599089674.79
2520,1599090367.65
1300,1599090642.02
1340,1599091105.94
2560,1599092018.66
3640,1599092703.81
3160,1599093058.92
4300,1599093419.28
1160,1599093422.0
2320,1599093916.73
120,1599094702.45
1100,1599094756.22
2260,1599095036.95
2520,1599095078.15
